"Sitzungsland","Sitzungsort","Monat","Empfehlungsplattform","Landing-Page-URL","Durchschnittliche Sitzungsdauer","Seitenaufrufe pro Sitzung","Absprünge","Sitzungen, in denen Artikel zum Warenkorb hinzugefügt wurden","Sitzungen, bei denen der Checkout erreicht wurde","Sitzungen, bei denen der Checkout abgeschlossen wurde","Sitzungen"
"Germany","Nuremberg","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHRo313y6tMk5NdvGN_WLzrabZqMBMtRB0ZPQAk-9bz3PS8yV3fkLDjeOtg_aem_x8Kh3IYaWZcbaa8J4WMDig",0,1,1,0,0,0,1
"Germany","Forchheim","2024-11-01","direct","https://www.whiskyquartier.de/",51,2,0,0,0,0,1
"Germany","Munich","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NkF8BHa3fukbzFGbJJxu12MfbfQSmdJO-12QZI5k4lXJ1GzbKQ4DFML68Hr6Cyw_aem_LgYiXqR-QBPmxQdT6DAgww",0,1,1,0,0,0,1
"Germany","Oldenburg","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NkF8BHZJrjgSH8hEJRbydTRfm9YWiAWh7p7OpyvgVz-WyookNZzrJM8JzjS1MZg_aem_yI0WKm0qe1juq4EZBXmWpw",21,2,0,0,0,0,1
"Croatia","Sisak","2024-11-01","direct","https://www.whiskyquartier.de/collections/neu-im-shop",0,1,1,0,0,0,1
"Germany","Hamburg","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHRr97dwLAIZJM1_tLpl-ulx4xIahjHzpr_oT-VvfbRIUnrwGZIj9x6iYgw_aem_a_y1Gu2N8v_xmZtHWiDtHw",33,2,0,0,0,0,1
"The Netherlands","Purmerend","2024-11-01","direct","https://www.whiskyquartier.de/products/classic-cut-2020-0-7l",11.833333333333334,1.1666666666666667,5,0,0,0,6
"Germany","Elterlein","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHfQ7XqlCMbLZsoKKVb_lWMX8C-QfEGBMMhqdnsjBKbXaij0_7fT9QQBmVg_aem_89PRSfHDduuEQIadlAy65g",0,1,1,0,0,0,1
"Germany","Göllheim","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NkF8BHQCv-s-Vmxkt-nv091h2nHzFHEl0oreIMoBcSwJ6jVmfqyhzwH1EwLdJ7Q_aem_WbFzFBvD-6Depcn5uDSm4A",0,1,1,0,0,0,1
"Germany","Cologne","2024-11-01","direct","https://www.whiskyquartier.de/",18.5,1.5,1,0,0,0,2
"Germany","Postbauer-Heng","2024-11-01","direct","https://www.whiskyquartier.de/",24.6,3.4,1,0,0,0,5
"Germany","Hamburg","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwY2xjawGtwyJleHRuA2FlbQEwAGFkaWQAAAYMPY0AnwEdEzZoBNJOpFBDua4TpnstYJxP1CRKVIUaSYBw_UkoJAoFMq4vzj6sbFp4_aem_AIUPZaMNLx_-aPb_He-MGQ",0,1,1,0,0,0,1
"Germany","Müllheim","2024-11-01","alphabet","https://www.whiskyquartier.de/?gad_source=1",0,1,1,0,0,0,1
"Germany","Bünde","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NkF8BHU0S299Tca2TZeG_1_Gnbd6PjLWQTV_VxvPHu_Tylolez72K74HN0gkoVQ_aem_LfFVrMw3nxjIy10KjM2iOA",52,3,0,0,0,0,1
"Germany","Düsseldorf","2024-11-01","direct","https://www.whiskyquartier.de/",0,1,2,0,0,0,2
"Germany",,"2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHRhTN7-l0ieY6EjtF0PtbF6uRc6uooca-fx8FQHSyWbQi4_axZ1PJzZ9pQ_aem_hGcgvD8yDSd0ZHxUgGZVbw",234,12,0,0,0,0,1
"Germany","Burgthann","2024-11-01","alphabet","https://www.whiskyquartier.de/",11.5,2,1,0,0,0,2
"Germany","Düsseldorf","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHR9-vTNPrM0uUXKPWWI1YRmL_cwULM_k6qJSVkb9WInmEFOZy1MOz2BZnw_aem_l_pj2JM05FjHsG2TLfd-1w",126,2,0,0,0,0,1
"Germany","Auerbach","2024-11-01","direct","https://www.whiskyquartier.de/",23,3,0,0,0,0,1
"Denmark","Charlottenlund","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/cardeas-warehouse-1-0-7l",0,1,1,0,0,0,1
"Germany","Berlin","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NbG8BHUbPtY66uYrUfZVm7WW6Lg0-PhE3lkdLMSyybS6Y2PHJeeF6wlmdR3uWbw_aem_Yu44s3jDFiO3Btq3rFZRJA",0,1,1,0,0,0,1
"Germany","Kerpen","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHfL4ngZvd4BWATF8Ton0i6igRaiUVATWSKeg2Ge5fNQ4hlvPaq0jhkpX4Q_aem_BqUCg0lCCHfazXHwPJnExw",0,1,1,0,0,0,1
"Germany","Leipzig","2024-11-01","direct","https://www.whiskyquartier.de/",197,8,0,1,1,1,1
"Czechia","Beroun","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/concept-no-1-0-7l",0,1,1,0,0,0,1
"Germany","Adelsdorf","2024-11-01","direct","https://www.whiskyquartier.de/",56,3,0,0,0,0,1
"Germany","Germering","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHezgc1OZ3Gj3QfV9vzZsuJ_VxkjoGqORaNlw159b6mGgLjrXZSwb8G-ZFQ_aem_zevaCe-dnNgkyELgvpjkZw",58,3,0,0,0,0,1
"The Netherlands","Doetinchem","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l",32,3,0,0,0,0,1
"Germany","Neumünster","2024-11-01","alphabet","https://www.whiskyquartier.de/collections/all",1283,13,0,0,0,0,1
"Germany",,"2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHZGeEr2_bCvqWrgez6JWM832nZZPzKUzclUhZSer-sUT-cfyJI7yAus2OQ_aem_oFFksGgXWeVlJxBiYLPDRg",0,1,1,0,0,0,1
"Germany","Germering","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwY2xjawGu0MNleHRuA2FlbQEwAGFkaWQAAAYMPY0AnwEd7OBzU5ncaPdB9X2_Nmy4n9XGSOgao5Fo2XDXn1vqYaAuOtdlLBvwb5kV_aem_zevaCe-dnNgkyELgvpjkZw",161,6,0,0,0,0,1
"Germany","Munich","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHcDXpVhajvZZo4DcSv9WZZ5tM7ThEHC3-of4OEgUAUwiYQDsfg08C2E4FA_aem_vqU5MvVfouUSQzCnaWGk8g",1712,5,0,0,0,0,1
"Germany","Rosenheim","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8Bpgl3j4ArKIuXRdWg3fgTuQQQ0UhXIbQp7-2sV4er15JzzZl85htBuItu0g_aem_FZymIf99tAOJOWmyW2lygw",137,3,0,0,0,0,1
"Germany","Dachau","2024-11-01","direct","https://www.whiskyquartier.de/collections/bestseller",0,1,1,0,0,0,1
"Germany","Stuttgart","2024-11-01","direct","https://www.whiskyquartier.de/products/cardeas-warehouse-1-0-7l",0,1,1,0,0,0,1
"Germany","Poxdorf","2024-11-01","direct","https://www.whiskyquartier.de/",36.90909090909091,1.9090909090909092,7,0,0,0,11
"Germany","Stuttgart","2024-11-01","direct","https://www.whiskyquartier.de/",5,2,0,0,0,0,1
"Germany","Poxdorf","2024-11-01","alphabet","https://www.whiskyquartier.de/",1733,2,0,0,0,0,1
"Canada","Montreal","2024-11-01","direct","https://www.whiskyquartier.de/",0,1,2,0,0,0,2
"Germany","Steinbach am Taunus","2024-11-01","alphabet","https://www.whiskyquartier.de/products/18y-sherry-oak-2022-0-7l?variant=49728920322385&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",0,1,1,0,0,0,1
"Germany","Düren","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGDD2M7RcBpuizq0tYGcQ7sBvCzZ0bThd3qbKSNFmQnvZSHGeU7c_1GRmwU4e9wb4sDg_aem_9CbRLsTL_xFfQiunZc4tsQ",0,1,1,0,0,0,1
"Germany","Munich","2024-11-01","alphabet","https://www.whiskyquartier.de/",1163.3333333333333,12.333333333333334,0,1,1,1,3
"Germany","Bellheim","2024-11-01","direct","https://www.whiskyquartier.de/",0,1,2,0,0,0,2
"Germany","Hanover","2024-11-01","alphabet","https://www.whiskyquartier.de/products/blood-oak-1l?variant=49827370598737&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",10,2,0,0,0,0,1
"Germany","Frankfurt am Main","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l",11,1,0,1,0,0,1
"Germany",,"2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHRpk69ADZNAmGIvi6ibNppEjnOgMNTTB0TrnMy89yOcvn0Dt9mf1rqUYdQ_aem_pe0m-j_axypKGPlBF_-zFg",0,1,1,0,0,0,1
"Germany","Augsburg","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BpqqaE1GmsCwm_l7LfcfuAa3JRkv_0a2mEt8wC2INqGD9RwOk7-u1YTsTIg_aem_VqDKLQ3BoRP7L-Nuw4gmbw",0,1,1,0,0,0,1
"Singapore","Singapore","2024-11-01","direct","https://www.whiskyquartier.de/password",0,1,1,0,0,0,1
"Germany","Achim","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHUDSsMxPmyKPHtxDqnmp86d5VPhdBGJ4bfE1rqlG4b5KI6EF2HKa01TgOw_aem_qVPGKYceWB3F1_YwTeCOVQ",0,1,1,0,0,0,1
"Germany","Dachau","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=PAZXh0bgNhZW0CMTEAAabPNRyHJHS9R9TcPSkKqSW1yOYgkl24QlcAoqkw4b_9uq6AwVpWnfi3mPg_aem_fSYZsaAD56FagSKwl2sHvg",126,5,0,0,0,0,1
"Germany","Speicher","2024-11-01","alphabet","https://www.whiskyquartier.de/products/laddie-ten-0-7l?srsltid=AfmBOorDHRTJd-xAkv0tgLuK6nydeFvUQYGGuHwJutMHlhKQBC5nZdYf",0,1,1,0,0,0,1
"Germany","Oberhausen","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHYDXKCxPPWBx_Vk4a8zQeDagzdmcwKRi-KYyMKTx-pAzHaW9-jYSBxN61A_aem_-hqfr5T-1TY_9LrawdaBrQ",0,1,1,0,0,0,1
"United Kingdom","London","2024-11-01","direct","https://www.whiskyquartier.de/collections/highlands",0,1,1,0,0,0,1
"Germany","Kirchdorf im Wald","2024-11-01","direct","https://www.whiskyquartier.de/",0,1,2,0,0,0,2
"Germany","Kehl","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHe7KANFFrTIFk8d-La7UZtnJrJ4BLExWmhe88aET1gCOs2_Hw6rFC3Fmig_aem_7kiziWwBq0XZ6T86TF3Rbw",0,1,1,0,0,0,1
"Germany","Duisburg","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHRPRT3a0L0VKSO8HAKXHzsBwnugsLDQ5KZlIaiZrTlk_ZAw-tvtg45bB9g_aem__6-BMWp71fpGQFxTueF3mQ",0,1,1,0,0,0,1
"Germany","Rüsselsheim am Main","2024-11-01","alphabet","https://www.whiskyquartier.de/products/cardeas-warehouse-1-0-7l?variant=49827452354897&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",0,1,1,0,0,0,1
"Germany","Duisburg","2024-11-01","direct","https://www.whiskyquartier.de/",1599,14,0,0,0,0,1
"India",,"2024-11-01","alphabet","https://www.whiskyquartier.de/",63.666666666666664,3,1,1,1,0,3
"Czechia","Prague","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/harmony-collection-green-meadow-0-7l",0,1,1,0,0,0,1
"The Netherlands",,"2024-11-01","whiskybase","https://www.whiskyquartier.de/products/classic-cut-2020-0-7l",10,2,0,0,0,0,1
"The Netherlands","Amsterdam","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/triple-wood-0-7l?_pos=1&_sid=8cc88e544&_ss=r",65.5,2.5,1,1,1,0,2
"Croatia","Sisak","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHadTfOJhZBMPfaWcw7zniwG8g2BG-b41TWM67urjfUE3_BnQTGppETwm8A_aem_XJBcVftejeGMyijmuq2M0Q",50,2,0,0,0,0,1
"Germany","Cologne","2024-11-01","alphabet","https://www.whiskyquartier.de/products/suntory-hibiki-100th-anniversary-0-7l-kopie?variant=49729641120081&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",0,1,1,0,0,0,1
"Germany","Frankenberg","2024-11-01","direct","https://www.whiskyquartier.de/",0,1,1,0,0,0,1
"Germany",,"2024-11-01","alphabet","https://www.whiskyquartier.de/",43,2,0,0,0,0,1
"Germany","Forstern","2024-11-01","direct","https://www.whiskyquartier.de/",16,2,0,0,0,0,1
"Germany",,"2024-11-01","direct","https://www.whiskyquartier.de/",40.5,3.6666666666666665,2,0,0,0,6
"Spain","Narón","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHUK_dYO0hheTFQPW_hxLhtPiHzq66nnvS1EqOzVmPvOqb-Zq-XUaCHK9nQ_aem_83pruyhSgfqwY8xoXgiCMA",21,2,0,0,0,0,1
"Ireland","Clonee","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0CMTEAAR39FwnEJMW2GuoGxgOILH4OgakQG0OZpzRsHKDewOyouCGPAi-CdQEgNSM_aem_EJyogVIORUTNPlG0KVXMoA",0,1,1,0,0,0,1
"Germany","Mannheim","2024-11-01","direct","https://www.whiskyquartier.de/",1400,5,0,0,0,0,1
"Germany","Oranienburg","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHQXJUpdY1PFX7Y8x0DE_TBoabRYOGjyMqNp8BEse05hCplgolZa1N8fJvg_aem_5jGVysmv0m4tu0gLHaJGog",39,3,0,0,0,0,1
"Germany","Frankfurt am Main","2024-11-01","alphabet","https://www.whiskyquartier.de/products/harmony-collection-vibrant-oak-0-7l?variant=49827316171089&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",0,1,1,0,0,0,1
"Germany","Düsseldorf","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHZIXfkusQDgq6aE-4gRWiRAV7rSLNopd1x5r9u51t-BquhqCD4aUcMSUNw_aem_6uJ-iJsVzGK42UKq5OXuzw",38,3,0,0,0,0,1
"United Kingdom","Manchester","2024-11-01","direct","https://www.whiskyquartier.de/",7,1.5,1,0,0,0,2
"Germany","Mainz","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BphNohpSNT4Cgcbr8hpTLvkNjPseDAak2e7r6smTM41Uqkz2fkZH06r_ngw_aem_3zd-YUZrg90tb2lZYSxfGQ",0,1,1,0,0,0,1
"The Netherlands","Drunen","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/triple-wood-0-7l?_pos=1&_sid=8cc88e544&_ss=r",0,1,2,0,0,0,2
"India","Bengaluru","2024-11-01","direct","https://www.whiskyquartier.de/",0,1,1,0,0,0,1
"Czechia","České Budějovice","2024-11-01","spiritradar","https://www.whiskyquartier.de/",1799,8,0,0,0,0,1
"Germany","Münster","2024-11-01","alphabet","https://www.whiskyquartier.de/products/15-yo-colour-collection-0-7l?variant=49729394016593&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=4",0,1,1,0,0,0,1
"Germany","Fürth","2024-11-01","direct","https://www.whiskyquartier.de/",0,1,2,0,0,0,2
"Germany","Berlin","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHXiU7OYJYji-q1OlKXjilyz5ZDyfPApq479TolhNTW9RwGiZ98mLR0kV-g_aem_HSXH96A4EEZ0GV-3vF30-Q",12,2,0,0,0,0,1
"Germany","Neumarkt in der Oberpfalz","2024-11-01","direct","https://www.whiskyquartier.de/",20.714285714285715,2.2857142857142856,4,0,0,0,7
"Germany","Neuenmarkt","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHRWuaMFfOjvvxJJVyQUW6-HpHV92O8Ikyz4b1-no1cdW9iYgYjshrF-Xnw_aem_XPxe1nD-wzS6G5GfLlYskg",11,2,0,0,0,0,1
"Germany","Delmenhorst","2024-11-01","whiskybase","https://www.whiskyquartier.de/products/quest-collection-enigma-0-7l",37,2,0,0,0,0,1
"Germany","Essen","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHf0QKsjLXeQgwVcHEe7xoL_14vP4ud44o4vGP20BmBiesiMfIlOwuwh0qg_aem_NoOEpXn3svzn38YElZmbgg",127,3,0,0,0,0,1
"Germany","Munich","2024-11-01","alphabet","https://www.whiskyquartier.de/products/triple-wood-0-7l?variant=49827444818257&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1",0,1,1,0,0,0,1
"Germany","Erlangen","2024-11-01","direct","https://www.whiskyquartier.de/collections/bestseller?page=2",0,1,1,0,0,0,1
"Germany","Neu-Isenburg","2024-11-01","direct","https://www.whiskyquartier.de/products/ardcore-0-7l",0,1,3,0,0,0,3
"Germany",,"2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHUT67DWCqAS3u0UdSEeK-uSPptmDVnRCgaxpCybCOfsE-WwEKHh4Tasedg_aem_3TRn1ffIOcRQDGfnewJZUA",60,7,0,0,0,0,1
"Germany","Rathenow","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8Bpl528RazPcEoEy08_zyiSWCReZpPx9uOpyoEA-zCuSeSKleFi1aQWpldCA_aem_BrDlul3ql_PGqnq5LgSx8Q",0,1,1,0,0,0,1
"Japan","Tokyo","2024-11-01","direct","https://www.whiskyquartier.de/",0,1,1,0,0,0,1
"Germany","Dortmund","2024-11-01","direct","https://www.whiskyquartier.de/",1094,9,0,1,1,1,1
"Germany","Burg bei Magdeburg","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=PAZXh0bgNhZW0BMABhZGlkAAAGDD2M7RcBppQKdCaWydqM6ycAEbGNhwCwWaBES7Ahc4rOUoMlMJ3Uif4RUNd7KOsDlg_aem_6QYXbMNO64O0UU31bNpniA",0,1,1,0,0,0,1
"The Netherlands","Purmerend","2024-11-01","direct","https://www.whiskyquartier.de/products/a-night-on-earth-scotland-2021-0-7l",0,1,2,0,0,0,2
"Germany","Würzburg","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHaZqzbYmLG5Gp6w9HlVsUdTumFVJhCztYZj1nmIsvocGLML2RI1Yzfjqcg_aem_0pIVCleR2TTJ5kOnwNGRMQ",13,3,0,0,0,0,1
"Germany","Melsungen","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHcp06EoOTnYNQ6ar3o_Ptbcoaj2tqF6au9ATgkP9KFA0VkL0tPASBbu83Q_aem_yYnWnc3aAQ9lPFkeX6rMGw",0,1,1,0,0,0,1
"Finland","Helsinki","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHa7Lof6qIy1mIxWox6XoRs16nZ5KAnHwLCch2CPu2PYiXrbSdLziyDwdKQ_aem_6BgKhRnFyyBiwlrcF91lxw",0,1,1,0,0,0,1
"Germany","Freiburg im Breisgau","2024-11-01","meta","https://www.whiskyquartier.de/?fbclid=IwZXh0bgNhZW0BMABhZGlkAAAGDD2NAJ8BHcovrYkpvGqnaGDG53xaQdfOcRY2QLd0cqUJ3meLOYSBLsvNe0O-UyZGGQ_aem_91hNr911epS6u_AIkqjfZg",0,1,1,0,0,0,1
